customer_id,pred_cluster
39634,1
43460,4
23937,4
2431,3
10090,0
24058,1
26709,0
47768,4
29757,4
33207,3
42493,0
24099,3
27655,0
28439,4
15019,4
42461,0
13548,0
19701,0
22276,3
24670,0
12394,0
39945,0
21907,3
39059,0
16880,1
28426,1
33151,0
21623,0
37350,1
2884,0
39427,0
9304,4
1833,3
33425,3
2030,4
18510,0
30234,0
16910,0
35254,4
35404,0
40311,0
39469,0
11796,0
19908,4
49813,4
29867,4
22350,4
39087,4
9042,4
19871,3
49145,4
29418,0
35626,1
48729,3
18125,0
26769,0
49776,0
34352,0
14841,4
46366,1
35051,4
43511,4
32771,4
14762,0
16396,0
24461,0
41634,4
39977,3
39132,4
14871,0
48615,0
15825,0
8186,0
46314,4
20325,4
21570,3
4108,3
3012,4
48725,3
36988,4
6054,4
30382,4
16781,4
15338,0
25509,0
10857,4
21840,4
32685,1
36010,0
33428,3
14887,4
20257,0
2780,4
5728,0
11534,4
35858,1
21694,1
41179,0
48271,4
21585,0
23148,1
46147,3
1117,4
22643,4
23396,4
34592,0
21335,0
28627,4
17642,4
23208,0
48259,0
29207,0
34391,0
22301,0
41984,0
28540,0
29573,4
13506,0
34540,0
44552,4
40461,0
6629,0
22914,0
21878,3
39703,4
41077,0
23538,3
10776,4
36628,0
28688,4
30647,0
40267,0
26317,0
40469,0
16348,4
17727,0
10271,4
5338,4
14456,4
17042,4
39959,4
18565,4
26957,0
31437,4
39168,3
5499,0
40168,1
13803,4
15858,0
26159,0
44390,1
30626,0
13597,4
28137,4
20894,4
1350,4
20116,3
48048,1
24173,0
5715,0
48086,2
17715,4
12267,3
1224,0
27752,4
48406,4
33738,0
12610,1
27379,4
6228,4
20600,0
6485,0
1528,4
11791,0
25752,4
11560,0
30102,0
33938,3
29451,1
45413,3
32109,0
26394,0
24795,0
15351,0
30168,0
23964,4
47710,0
47418,0
35873,0
27189,0
8190,4
46991,1
2816,0
31645,3
29739,0
21819,4
17669,0
49303,4
37229,0
25940,1
20125,1
32785,0
31838,2
23998,3
47644,4
23301,1
40807,4
33205,0
46793,0
12182,4
48607,0
46748,3
15560,0
18464,0
33179,4
30444,0
16031,0
21329,0
31104,0
27702,1
48360,0
43287,0
15298,4
21318,1
15483,0
4234,0
44210,0
8019,0
6229,0
34796,4
11679,4
48060,0
46913,0
3433,4
14772,1
8988,0
40712,4
35711,0
7922,1
28475,0
45129,0
5753,0
32976,0
47139,1
26282,0
39798,4
47342,4
30275,0
34001,1
46299,0
4876,3
12777,0
33438,0
35747,4
13288,0
3053,4
24648,4
36914,4
22964,0
4072,0
23102,4
44387,4
32484,4
13793,0
42903,1
28454,4
19201,0
1615,0
32428,1
8834,4
5326,4
42118,0
41144,1
7302,0
34453,0
44902,4
47157,0
30006,0
40592,0
29713,4
23287,1
26980,0
23838,0
38010,0
9072,0
35548,4
4093,0
46609,0
13823,0
30107,0
5054,4
4669,0
44021,0
4351,0
24255,1
15855,0
31422,0
39993,4
23180,0
21865,4
11730,1
48982,4
41519,2
39062,0
957,0
11773,0
14371,1
21282,4
47970,0
11625,4
15859,0
43757,0
32179,0
38221,4
49324,1
23398,4
46236,4
46097,0
36410,4
47119,0
45520,0
45010,1
4218,0
33405,4
21927,4
20927,4
14094,0
31494,0
43014,4
48409,0
3054,4
16179,0
27983,0
45444,0
47479,4
7623,0
905,4
1029,1
44109,0
49598,0
10697,4
33619,0
40101,0
9687,0
19037,0
7027,4
10399,4
29146,0
20342,4
19823,0
13334,4
17408,0
2541,4
15319,1
22957,0
27687,1
23036,0
33400,0
27657,0
44933,0
36428,0
16946,4
35063,1
24769,4
44224,1
25739,0
44391,0
10577,4
22042,0
6631,1
47640,0
39194,0
21170,3
45863,4
39079,0
28363,0
5406,0
5608,0
43608,4
671,0
24233,4
14485,1
30564,0
12023,4
2522,0
26021,0
22850,3
12820,1
5987,0
25084,1
36405,0
30240,0
16069,4
45259,0
17146,4
34458,0
3436,3
33292,0
6992,0
38492,4
26860,4
19192,0
20367,0
8703,0
41183,0
45227,4
15452,4
31679,0
10199,3
22376,0
12971,3
5641,4
32102,4
34800,4
36923,4
3405,1
46369,1
198,0
35098,4
15871,0
4177,0
13948,0
46803,0
11930,1
1714,4
28762,4
35113,4
36693,0
12049,4
13065,0
11720,0
41057,4
18713,0
36483,0
37986,1
8080,0
30987,4
35982,0
43959,0
37719,4
18802,4
4375,4
12573,0
29531,4
15235,0
2902,3
7269,0
44724,0
27263,0
17246,0
25549,3
43151,4
29662,0
33166,4
2803,4
45907,4
9242,4
27355,4
887,0
25747,4
19852,0
46939,1
27533,0
42980,3
12934,0
154,4
19334,0
14022,3
25516,0
46588,4
9922,0
6005,3
2423,4
22522,0
15685,1
44350,4
36625,4
18709,1
39297,0
39494,4
8368,4
16299,0
27799,4
36846,1
46770,1
47535,0
25466,0
41971,1
3038,3
12719,0
38430,3
37942,4
36306,0
16024,0
40473,0
39686,0
21157,4
34757,4
22979,4
16810,0
36746,3
48008,1
48276,4
10305,0
35954,4
40825,4
19897,0
220,4
46736,4
30326,4
24612,0
46644,3
15052,4
27800,0
37835,0
14044,0
42927,0
32746,0
31174,4
19123,0
12773,4
1933,4
36451,0
41019,1
12352,0
2796,0
49097,0
22525,1
45831,4
22029,0
31462,1
2947,4
9681,1
19397,0
658,0
40840,4
38488,0
5272,4
41927,0
13136,4
29676,3
35654,0
21231,0
28833,0
49329,4
14451,0
17900,4
27107,4
48072,4
34535,0
28866,4
6122,0
5362,0
11783,3
2705,0
9609,4
25207,1
44218,3
24872,0
40628,0
21785,0
13343,0
25376,0
16976,0
45080,1
8189,0
4327,0
48823,1
7011,0
28826,1
37796,1
41076,2
17570,4
14813,4
44379,0
10405,0
32660,1
21320,0
8578,4
1433,0
32404,4
45046,4
6492,0
29630,0
3152,0
15950,0
24647,0
27313,1
15121,3
38269,0
47798,0
8323,4
25522,0
23882,3
5831,0
37087,4
38390,1
43863,4
7430,0
37258,0
23927,0
48961,0
13383,4
6155,4
49556,1
23111,0
42486,4
48673,1
13688,0
7476,0
19801,4
7026,3
36790,4
40270,0
1018,0
16445,4
27287,4
15449,3
1800,0
37484,4
32818,0
6126,0
9795,4
25767,4
38400,0
29671,4
17380,0
31659,0
3809,1
39393,0
28020,0
8249,3
25094,4
7648,4
41574,4
17703,4
43450,0
13318,4
41032,0
43301,1
11902,0
34609,1
10270,0
18400,4
35868,0
3311,1
34108,3
16772,0
42448,1
17303,4
22718,0
49848,4
25127,3
34811,0
27463,0
31185,0
48358,4
48520,3
15908,4
24211,0
6323,0
6287,0
9029,0
31261,0
30752,3
1297,0
27252,4
42385,1
43120,2
49025,3
20423,0
19002,4
11596,3
3832,0
44495,4
15044,0
8243,0
26667,1
6756,0
49432,4
7162,0
5034,4
22544,0
8850,0
26619,4
30780,0
7803,0
40008,4
44076,1
41430,0
45844,0
16575,4
1335,0
17356,1
42990,1
38698,1
16010,1
14163,4
26464,0
11302,1
41886,1
27034,4
6811,4
48173,0
32719,4
39684,4
18586,3
20271,0
28361,4
39528,4
27622,3
14562,0
4871,0
18003,1
15474,4
15290,4
9276,4
30750,4
18528,0
33437,0
6150,4
5912,4
8380,3
35663,4
29931,4
34991,4
5586,1
7545,0
35006,0
5248,0
11494,1
19483,0
9598,0
49044,1
21660,1
35636,1
27579,0
40771,0
30659,4
8007,0
17218,3
36544,0
31270,0
20445,1
20178,3
39236,1
33477,1
28719,4
37264,0
22211,4
18539,1
5508,0
34504,0
37713,3
46767,0
35398,0
12307,4
31384,0
22384,0
25390,1
11311,4
47785,0
22340,3
31587,0
2430,0
48196,1
49227,0
8701,0
5519,4
14429,4
36259,4
49137,4
4835,4
12945,0
48013,4
20962,0
14721,0
34579,0
6716,1
42886,1
38398,4
26648,4
3741,4
20204,0
9109,1
47269,4
1477,1
42128,0
7032,0
3647,2
44483,4
39006,1
48111,3
35959,4
11986,0
15324,4
27632,0
40099,4
17802,0
4608,0
16882,0
9083,0
42390,4
35290,4
18255,1
28105,3
20281,1
3197,0
9637,1
15736,4
36935,1
8222,1
13290,4
49830,0
8199,0
47813,3
9479,4
11429,4
10472,3
31307,4
42882,4
21481,0
1023,4
12302,0
47462,1
7008,0
30897,4
11990,0
43534,4
42171,4
43119,1
3540,0
4626,3
11823,0
43513,0
37869,4
28747,0
4501,4
45370,0
25463,1
44866,1
32531,0
2031,4
45336,4
11355,3
26243,0
11566,4
17604,0
5932,4
7120,0
2647,0
8822,0
20218,0
19395,3
22070,0
33522,4
33903,4
35609,4
24657,0
26646,4
49381,3
22329,0
33385,0
32171,4
5943,4
22460,4
23112,4
11175,0
5963,4
14922,0
4064,1
11320,0
25003,0
9202,0
32812,4
14307,0
29399,4
46356,0
22848,0
13118,0
14045,3
30790,1
39300,3
30512,3
28903,1
9924,0
41181,1
13474,4
30138,0
8167,4
32340,1
28085,4
2389,0
25154,3
6285,1
15040,4
33488,0
17901,3
47032,0
19500,3
34416,4
21250,4
1155,3
16217,4
36342,4
10450,1
40445,4
19986,0
